LogicalName,PhysicalName,Type,FileGroupName,Size,MaxSize,FileId,CreateLSN,DropLSN,UniqueId,ReadOnlyLSN,ReadWriteLSN,BackupSizeInBytes,SourceBlockSize,FileGroupId,LogGroupGUID,DifferentialBaseLSN,DifferentialBaseGUID,IsReadOnly,IsPresent,TDEThumbprint,SnapshotUrl
NBA,D:\SQL_DATA\NBA.mdf,D,PRIMARY,5242880,35184372080640,1,0,0,2006C84C-9539-4B92-B68B-4B6859F7A2E9,0,0,3538944,512,1,,52000000013800111,495807C2-E93E-469E-B93D-6E33A721505B,false,true,,
NBA_log,L:\SQL_LOG\NBA_log.ldf,L,,5308416,2199023255552,2,0,0,8C5D7B6E-D3A6-4634-AB45-F492C6F08745,0,0,0,512,0,,0,00000000-0000-0000-0000-000000000000,false,true,,
